SchoolName,SchoolID,Type,MajorID,Major,SubjectGroup,Benchmark_2024,Note
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101,Luật,D03,25.0,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101,Luật,D78,26.52,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101,Luật,D82,25.0,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101,Luật,C00,28.36,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101,Luật,A01,24.5,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101,Luật,D01,25.4,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101CLC,Luật chất lượng cao,A01,24.5,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101CLC,Luật chất lượng cao,D01,25.4,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380101CLC,Luật chất lượng cao,D78,26.52,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380109,Luật Thương mại quốc tế,A00,26.5,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380109,Luật Thương mại quốc tế,A01,26.5,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380109,Luật Thương mại quốc tế,D01,26.5,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380109,Luật Thương mại quốc tế,D78,26.5,
