Student_ID,Major1,Major2,Major3,Subject_groups,Priority_Area,Priority_Subject,Interests,TOA,VAN,ANH,LY,HOA,SU,DIA,SINH,GDCD,TIN,CN
ST0001,Nhân học,Xã hội học,Marketing,B04,KV1,06,"Giúp đỡ người khác,Động vật,Truyền thông",6.7,5.4,0.0,3.8,0.0,3.5,0.0,0.0,0.0,0.0,0.0
ST0002,Công nghệ sinh học,Tâm lý học,Nông nghiệp,"B04,A05",KV2,05,Nghiên cứu,6.9,6.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.6
ST0003,Thiết kế thời trang,Âm nhạc,Marketing,"D13,D07",KV2,05,"Sáng tạo,Thể thao",5.6,6.2,3.4,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0
ST0004,Luật,Kinh tế học,Luật quốc tế,"C17,C00",KV2,05,Chính trị,7.3,5.8,4.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0
ST0005,Tâm lý học,Công nghệ thông tin,Thiết kế đồ họa,D66,KV1,07,"Nghệ thuật,Lập trình",9.3,8.1,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,3.8
ST0006,Robot và Trí tuệ nhân tạo,Tự động hóa,Công nghệ sinh học,"C08,A01",KV2,05,"Thống kê,Khoa học,Tự động hóa",5.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,7.5
ST0007,Quản lý bệnh viện,Y khoa,Răng - Hàm - Mặt,"A08,C05",KV2,05,Chăm sóc sức khỏe,6.4,8.5,6.1,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0
ST0008,Quản lý tài nguyên và môi trường,Sư phạm Ngữ văn,Ngôn ngữ Trung Quốc,"D-TIN,D84",KV2,05,"Nghiên cứu,Ngoại ngữ,Tự động hóa",9.3,3.4,0.0,0.0,3.2,0.0,4.1,0.0,0.0,0.0,0.0
ST0009,Khoa học dữ liệu và Trí tuệ nhân tạo,Quản lý tài nguyên và môi trường,Quản lý đất đai,D15,KV3,07,Công nghệ,8.7,3.1,0.0,0.0,0.0,0.0,4.2,7.0,0.0,0.0,0.0
ST0010,Luật,Luật quốc tế,Quản lý giáo dục,D-TIN,KV2,05,"Chính trị,Luật pháp,Xây dựng",7.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,4.1
ST0011,Nhân học,Công nghệ thông tin,Digital Marketing,"D84,C02",KV2,05,"Văn hóa,Công nghệ",7.5,6.3,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,3.0
ST0012,Marketing,Điều dưỡng,Quản trị kinh doanh,B03,KV2,03,"Chính trị,Giao tiếp,Nông nghiệp",5.9,4.8,0.0,0.0,8.5,0.0,0.0,0.0,0.0,3.9,0.0
ST0013,Quản lý giáo dục,Logistics và Quản lý chuỗi cung ứng,Quản trị dịch vụ du lịch và lữ hành,"D13,A01",KV2,05,Quản lý,6.3,4.5,0.0,0.0,0.0,0.0,5.6,0.0,5.0,0.0,0.0
ST0014,Tâm lý học,Khoa học dữ liệu và Trí tuệ nhân tạo,Khoa học dữ liệu,"A10,A07",KV2,05,"Tài chính,Kỹ thuật,Khoa học",7.5,6.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,6.0,0.0
ST0015,Sư phạm Ngữ văn,Tài chính - Ngân hàng,Kế toán,B00,KV2,05,"Dạy học,Thể thao,Tài chính",8.7,4.7,0.0,5.2,0.0,0.0,2.5,0.0,0.0,0.0,0.0
ST0016,Công nghệ thông tin,Quản lý giáo dục,Sư phạm Ngữ văn,A11,KV2,05,"Công nghệ,Cơ khí,Văn học",6.8,6.8,0.0,0.0,0.0,0.0,1.9,0.0,6.6,0.0,0.0
ST0017,Ngôn ngữ Anh,Ngôn ngữ Nhật,Báo chí,"A05,A03",KV2,05,Đọc sách,8.3,6.7,4.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0
ST0018,Công nghệ thông tin,Marketing,Digital Marketing,"A05,C14",KV2,05,Trò chơi điện tử,8.4,6.0,5.1,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0
ST0019,Trí tuệ nhân tạo,Thiết kế thời trang,Thiết kế đồ họa,A02,KV2,05,"Thể thao,Tự động hóa",3.1,5.8,0.0,4.9,0.0,0.0,0.0,0.0,0.0,5.3,0.0
ST0020,Xã hội học,Thống kê,Kinh tế học,A-TIN,KV3,02,"Phân tích dữ liệu,Thống kê",8.9,7.9,0.0,0.0,0.0,4.4,0.0,0.0,0.0,5.0,0.0
ST0021,Quản lý tài nguyên và môi trường,Quản lý đất đai,Tâm lý học,D12,KV2,06,"Dạy học,Luật pháp,Nghiên cứu",5.0,5.2,0.0,0.0,0.0,0.0,6.3,6.6,0.0,0.0,0.0
ST0022,Thiết kế thời trang,Quản lý giáo dục,Âm nhạc,A07,KV2,05,"Thiên nhiên,Thể thao,Động vật",8.6,5.5,0.0,3.1,0.0,0.0,0.0,0.0,4.7,0.0,0.0
ST0023,Công nghệ thông tin,Digital Marketing,Logistics và Quản lý chuỗi cung ứng,"A02,B04",KV2,05,"Xây dựng,Phân tích dữ liệu",8.9,6.1,0.0,0.0,0.0,0.0,2.1,0.0,0.0,2.7,0.0
ST0024,Công nghệ thông tin,Khoa học máy tính,An toàn thông tin,"C05,C-TIN",KV2,05,"Đọc sách,Thể thao,Máy tính",6.5,7.2,0.0,8.4,0.0,3.3,0.0,0.0,0.0,0.0,0.0
ST0025,Công nghệ thông tin,Marketing,Digital Marketing,"C00,D07",KV2,05,Lập trình,6.4,8.3,5.2,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0
ST0026,Công nghệ thông tin,Marketing,Digital Marketing,A02,KV2,05,"Trò chơi điện tử,Nghiên cứu,Quảng cáo",8.0,6.2,4.4,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
ST0027,Quản lý đất đai,Sư phạm Ngữ văn,Nhân học,"C19,A-TIN",KV2,05,Môi trường,8.8,6.9,0.0,3.5,0.0,0.0,7.3,0.0,0.0,0.0,0.0
ST0028,Luật kinh tế,Luật,Luật quốc tế,"A09,A-TIN",KV2,05,Luật pháp,8.0,5.9,0.0,7.7,0.0,4.1,0.0,0.0,0.0,0.0,0.0
ST0029,Quản lý đất đai,Logistics và Quản lý chuỗi cung ứng,Quản trị kinh doanh quốc tế,"D10,G-TIN",KV1,01,Quản lý,6.9,4.9,0.0,7.3,0.0,0.0,5.3,0.0,0.0,0.0,0.0
ST0030,Quản lý tài nguyên và môi trường,Quản trị kinh doanh,Quản lý bệnh viện,"A04,D07",KV2,05,"Ẩm thực,Lãnh đạo,Bảo mật thông tin",6.7,5.4,0.0,0.0,7.1,0.0,6.4,0.0,0.0,0.0,0.0
ST0031,Sư phạm Ngữ văn,Nhân học,Xã hội học,C05,KV2,05,"Văn học,Toán học,Giúp đỡ người khác",6.0,2.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,2.7,0.0
ST0032,Luật,Kinh tế học,Luật quốc tế,C08,KV2,05,"Xây dựng,Chính trị",5.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0
ST0033,Thiết kế thời trang,Thiết kế đồ họa,Nghệ thuật,"D84,B00",KV3,03,"Thể thao,Nghệ thuật",8.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.1,0.0
ST0034,Quản lý bệnh viện,Công nghệ thông tin,Marketing,C00,KV2,05,Chăm sóc sức khỏe,6.2,6.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0
ST0035,Công nghệ thông tin,Trí tuệ nhân tạo,Khoa học máy tính,"D-TIN,A03",KV2,05,"Y học,Lập trình",5.2,3.4,0.0,0.0,0.0,0.0,4.1,0.0,0.0,3.3,0.0
ST0036,Nhân học,Thiết kế đồ họa,Thiết kế thời trang,D01,KV2,05,Giúp đỡ người khác,7.6,7.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,6.0,0.0
ST0037,Thiết kế thời trang,Âm nhạc,Công nghệ thông tin,"A04,A02",KV2,05,Thể thao,9.2,5.2,6.6,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0
ST0038,Luật,Tài chính - Ngân hàng,Thống kê,"C00,D10",KV2,05,Toán học,4.3,5.7,0.0,0.0,0.0,5.5,0.0,0.0,4.2,0.0,0.0
