Ngành,Mức điểm đầu vào,Trường đại học,Điểm chuẩn,Tổ hợp,Năm,Ghi chú,Mã trường
y khoa,Cao,YDS - Trường Đại Học Y Dược TPHCM,27.8,B00,2023,,YDS
dược học,Cao,YDS - Trường Đại Học Y Dược TPHCM,25.72,B00,2023,,YDS
dược học,Cao,YDS - Trường Đại Học Y Dược TPHCM,25.72,A00,2023,,YDS
điều dưỡng,Cao,YDS - Trường Đại Học Y Dược TPHCM,24.03,B00,2023,,YDS
điều dưỡng,Cao,YDS - Trường Đại Học Y Dược TPHCM,24.03,A00,2023,,YDS
răng - hàm - mặt,Cao,YDS - Trường Đại Học Y Dược TPHCM,27.35,B00,2023,,YDS
y khoa,Cao,YDS - Trường Đại Học Y Dược TPHCM,27.8,B00,2022,,YDS
dược học,Cao,YDS - Trường Đại Học Y Dược TPHCM,25.72,B00,2022,,YDS
dược học,Cao,YDS - Trường Đại Học Y Dược TPHCM,25.72,A00,2022,,YDS
điều dưỡng,Cao,YDS - Trường Đại Học Y Dược TPHCM,24.03,B00,2022,,YDS
điều dưỡng,Cao,YDS - Trường Đại Học Y Dược TPHCM,24.03,A00,2022,,YDS
răng - hàm - mặt,Cao,YDS - Trường Đại Học Y Dược TPHCM,27.35,B00,2022,,YDS
y khoa,Cao,YDS - Trường Đại Học Y Dược TPHCM,27.8,B00,2021,,YDS
dược học,Cao,YDS - Trường Đại Học Y Dược TPHCM,25.72,B00,2021,,YDS
dược học,Cao,YDS - Trường Đại Học Y Dược TPHCM,25.72,A00,2021,,YDS
điều dưỡng,Cao,YDS - Trường Đại Học Y Dược TPHCM,24.03,B00,2021,,YDS
điều dưỡng,Cao,YDS - Trường Đại Học Y Dược TPHCM,24.03,A00,2021,,YDS
răng - hàm - mặt,Cao,YDS - Trường Đại Học Y Dược TPHCM,27.35,B00,2021,,YDS
y khoa,Cao,YDS - Trường Đại Học Y Dược TPHCM,27.8,B00,2020,,YDS
dược học,Cao,YDS - Trường Đại Học Y Dược TPHCM,25.72,B00,2020,,YDS
dược học,Cao,YDS - Trường Đại Học Y Dược TPHCM,25.72,A00,2020,,YDS
điều dưỡng,Cao,YDS - Trường Đại Học Y Dược TPHCM,24.03,B00,2020,,YDS
điều dưỡng,Cao,YDS - Trường Đại Học Y Dược TPHCM,24.03,A00,2020,,YDS
răng - hàm - mặt,Cao,YDS - Trường Đại Học Y Dược TPHCM,27.35,B00,2020,,YDS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,D01,2023,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,A00,2023,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,A01,2023,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,A00,2023,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,A01,2023,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,D01,2023,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,A00,2023,Phân hiệu Long An,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,A01,2023,Phân hiệu Long An,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,D01,2023,Phân hiệu Long An,SPS
sư phạm vật lý,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.25,A00,2023,,SPS
sư phạm vật lý,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.25,A01,2023,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,28.6,C00,2023,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,28.6,D01,2023,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.2,C00,2023,Phân hiệu Long An,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.2,D01,2023,Phân hiệu Long An,SPS
sư phạm tiếng anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.01,D01,2023,,SPS
sư phạm tiếng anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.47,D01,2023,Phân hiệu Long An,SPS
ngôn ngữ anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.86,D01,2023,,SPS
ngôn ngữ pháp,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,22.7,D01,2023,,SPS
ngôn ngữ trung quốc,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.05,D01,2023,,SPS
ngôn ngữ nhật,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.77,D01,2023,,SPS
ngôn ngữ hàn quốc,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.02,D01,2023,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,B00,2023,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,C00,2023,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,D01,2023,,SPS
vật lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.44,A00,2023,,SPS
vật lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.44,A01,2023,,SPS
công nghệ thông tin,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.05,A00,2023,,SPS
công nghệ thông tin,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.05,A01,2023,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,D01,2022,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,A00,2022,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,A01,2022,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,A00,2022,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,A01,2022,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,D01,2022,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,A00,2022,Phân hiệu Long An,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,A01,2022,Phân hiệu Long An,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,D01,2022,Phân hiệu Long An,SPS
sư phạm vật lý,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.25,A00,2022,,SPS
sư phạm vật lý,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.25,A01,2022,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,28.6,C00,2022,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,28.6,D01,2022,,SPS
