Ngành,Trường,Mã trường,Năm,Chỉ tiêu THPT (Ước tính),market_trend
thú y,Đại học Nông Lâm TP.HCM,NLS,2020,91-112,0.65
thú y,Đại học Nông Lâm TP.HCM,NLS,2021,87-106,0.66
thú y,Đại học Nông Lâm TP.HCM,NLS,2022,84-103,0.66
thú y,Đại học Nông Lâm TP.HCM,NLS,2023,101-124,0.67
thú y,Đại học Nông Lâm TP.HCM,NLS,2024,90-111,0.68
thú y,Đại học Nông Lâm TP.HCM,NLS,2025,102-125,0.68
thú y,Đại học Y khoa Phạm Ngọc Thạch,PNT,2020,132-161,0.65
thú y,Đại học Y khoa Phạm Ngọc Thạch,PNT,2021,135-166,0.66
thú y,Đại học Y khoa Phạm Ngọc Thạch,PNT,2022,144-177,0.66
thú y,Đại học Y khoa Phạm Ngọc Thạch,PNT,2023,153-187,0.67
thú y,Đại học Y khoa Phạm Ngọc Thạch,PNT,2024,135-166,0.68
thú y,Đại học Y khoa Phạm Ngọc Thạch,PNT,2025,139-170,0.68
thú y,Đại học Công nghiệp TP.HCM,IUH,2020,143-174,0.65
thú y,Đại học Công nghiệp TP.HCM,IUH,2021,145-178,0.66
thú y,Đại học Công nghiệp TP.HCM,IUH,2022,141-172,0.66
thú y,Đại học Công nghiệp TP.HCM,IUH,2023,130-159,0.67
thú y,Đại học Công nghiệp TP.HCM,IUH,2024,134-163,0.68
thú y,Đại học Công nghiệp TP.HCM,IUH,2025,132-161,0.68
thú y,Đại học Hùng Vương TP.HCM,HVU,2020,143-174,0.65
thú y,Đại học Hùng Vương TP.HCM,HVU,2021,135-165,0.66
thú y,Đại học Hùng Vương TP.HCM,HVU,2022,152-185,0.66
thú y,Đại học Hùng Vương TP.HCM,HVU,2023,150-183,0.67
thú y,Đại học Hùng Vương TP.HCM,HVU,2024,152-185,0.68
thú y,Đại học Hùng Vương TP.HCM,HVU,2025,140-171,0.68
thú y,Đại học Văn Lang,VLU,2020,163-200,0.65
thú y,Đại học Văn Lang,VLU,2021,167-204,0.66
thú y,Đại học Văn Lang,VLU,2022,155-190,0.66
thú y,Đại học Văn Lang,VLU,2023,183-224,0.67
thú y,Đại học Văn Lang,VLU,2024,178-217,0.68
thú y,Đại học Văn Lang,VLU,2025,179-218,0.68
báo chí,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2020,72-88,0.65
báo chí,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2021,61-74,0.66
báo chí,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2022,73-90,0.66
báo chí,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2023,63-77,0.67
báo chí,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2024,66-81,0.68
báo chí,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2025,72-88,0.68
báo chí,Đại học Văn Lang,VLU,2020,124-151,0.65
báo chí,Đại học Văn Lang,VLU,2021,121-148,0.66
báo chí,Đại học Văn Lang,VLU,2022,126-155,0.66
báo chí,Đại học Văn Lang,VLU,2023,126-154,0.67
báo chí,Đại học Văn Lang,VLU,2024,128-157,0.68
báo chí,Đại học Văn Lang,VLU,2025,150-183,0.68
báo chí,Đại học Hoa Sen,HSU,2020,89-108,0.65
báo chí,Đại học Hoa Sen,HSU,2021,90-110,0.66
báo chí,Đại học Hoa Sen,HSU,2022,87-106,0.66
báo chí,Đại học Hoa Sen,HSU,2023,97-118,0.67
báo chí,Đại học Hoa Sen,HSU,2024,99-122,0.68
báo chí,Đại học Hoa Sen,HSU,2025,91-112,0.68
báo chí,Đại học Hutech,HTU,2020,148-181,0.65
báo chí,Đại học Hutech,HTU,2021,157-192,0.66
báo chí,Đại học Hutech,HTU,2022,175-214,0.66
báo chí,Đại học Hutech,HTU,2023,175-214,0.67
báo chí,Đại học Hutech,HTU,2024,179-218,0.68
báo chí,Đại học Hutech,HTU,2025,164-201,0.68
báo chí,Đại học Nguyễn Tất Thành,NTT,2020,106-129,0.65
báo chí,Đại học Nguyễn Tất Thành,NTT,2021,118-145,0.66
báo chí,Đại học Nguyễn Tất Thành,NTT,2022,124-151,0.66
báo chí,Đại học Nguyễn Tất Thành,NTT,2023,121-148,0.67
báo chí,Đại học Nguyễn Tất Thành,NTT,2024,121-148,0.68
báo chí,Đại học Nguyễn Tất Thành,NTT,2025,125-152,0.68
quan hệ công chúng,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,82-101,0.73
quan hệ công chúng,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,90-111,0.74
quan hệ công chúng,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,98-119,0.74
quan hệ công chúng,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,88-107,0.75
quan hệ công chúng,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,92-113,0.76
quan hệ công chúng,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,97-118,0.77
quan hệ công chúng,Đại học Văn Lang,VLU,2020,102-125,0.73
quan hệ công chúng,Đại học Văn Lang,VLU,2021,99-121,0.74
quan hệ công chúng,Đại học Văn Lang,VLU,2022,92-113,0.74
quan hệ công chúng,Đại học Văn Lang,VLU,2023,108-132,0.75
quan hệ công chúng,Đại học Văn Lang,VLU,2024,110-135,0.76
quan hệ công chúng,Đại học Văn Lang,VLU,2025,99-122,0.77
quan hệ công chúng,Đại học Hoa Sen,HSU,2020,143-174,0.73
quan hệ công chúng,Đại học Hoa Sen,HSU,2021,138-169,0.74
quan hệ công chúng,Đại học Hoa Sen,HSU,2022,148-181,0.74
quan hệ công chúng,Đại học Hoa Sen,HSU,2023,157-192,0.75
quan hệ công chúng,Đại học Hoa Sen,HSU,2024,144-177,0.76
quan hệ công chúng,Đại học Hoa Sen,HSU,2025,143-174,0.77
quan hệ công chúng,Đại học Hutech,HTU,2020,180-220,0.73
quan hệ công chúng,Đại học Hutech,HTU,2021,186-227,0.74
quan hệ công chúng,Đại học Hutech,HTU,2022,186-227,0.74
quan hệ công chúng,Đại học Hutech,HTU,2023,171-209,0.75
quan hệ công chúng,Đại học Hutech,HTU,2024,180-220,0.76
quan hệ công chúng,Đại học Hutech,HTU,2025,173-212,0.77
quan hệ công chúng,Đại học Nguyễn Tất Thành,NTT,2020,87-106,0.73
quan hệ công chúng,Đại học Nguyễn Tất Thành,NTT,2021,90-110,0.74
quan hệ công chúng,Đại học Nguyễn Tất Thành,NTT,2022,102-125,0.74
quan hệ công chúng,Đại học Nguyễn Tất Thành,NTT,2023,103-126,0.75
quan hệ công chúng,Đại học Nguyễn Tất Thành,NTT,2024,98-119,0.76
quan hệ công chúng,Đại học Nguyễn Tất Thành,NTT,2025,95-116,0.77
digital marketing,Đại học Kinh tế TP.HCM,UEH,2020,74-91,0.82
digital marketing,Đại học Kinh tế TP.HCM,UEH,2021,91-112,0.83
digital marketing,Đại học Kinh tế TP.HCM,UEH,2022,81-99,0.84
digital marketing,Đại học Kinh tế TP.HCM,UEH,2023,85-104,0.84
digital marketing,Đại học Kinh tế TP.HCM,UEH,2024,89-108,0.85
digital marketing,Đại học Kinh tế TP.HCM,UEH,2025,88-107,0.86
digital marketing,Đại học Tài chính - Marketing,UFM,2020,114-139,0.82
digital marketing,Đại học Tài chính - Marketing,UFM,2021,107-130,0.83
digital marketing,Đại học Tài chính - Marketing,UFM,2022,113-138,0.84
digital marketing,Đại học Tài chính - Marketing,UFM,2023,110-135,0.84
digital marketing,Đại học Tài chính - Marketing,UFM,2024,125-152,0.85
digital marketing,Đại học Tài chính - Marketing,UFM,2025,130-159,0.86
digital marketing,Đại học Văn Lang,VLU,2020,127-156,0.82
digital marketing,Đại học Văn Lang,VLU,2021,122-149,0.83
digital marketing,Đại học Văn Lang,VLU,2022,121-148,0.84
