Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD
24,31,3242,6.8,8.5,,,,8.5,9.5,9.25,7.6,N1,50.15,,,,26.5,22.9
23,41,11451,8.6,5.75,7.75,7.5,7.25,,,,6.4,N1,43.25,23.85,22.75,23.35,,20.75
20,64,2112,3.4,5.75,,,,3.5,7.0,8.25,2.8,N1,30.7,,,,16.25,11.95
23,1,32632,6.8,8.75,,,,5.75,7.0,9.25,9.2,N1,46.75,,,,21.5,24.75
18,53,10703,4.0,6.0,3.5,3.5,3.5,,,,2.0,,22.5,11.0,9.5,11.0,,12.0
24,12,2035,8.2,8.5,7.0,8.75,6.0,,,,4.4,N1,42.85,23.95,19.6,22.95,,21.1
17,3,17016,3.0,4.25,,,,2.25,3.25,,,,,,,,9.75,
21,3,5885,6.2,7.75,6.0,4.5,6.0,,,,5.4,,35.85,16.7,17.6,16.7,,19.35
18,1,18232,7.2,7.0,5.25,6.25,4.5,,,,3.6,,33.8,18.7,16.05,17.95,,17.8
19,1,45426,5.0,4.5,,,,4.75,7.0,7.5,2.2,N1,30.95,,,,16.25,11.7
19,3,12948,9.0,5.0,7.5,7.25,6.0,,,,5.0,N1,39.75,23.75,21.5,22.25,,19.0
20,53,5629,7.4,7.25,7.5,6.25,4.75,,,,3.6,N1,36.75,21.15,18.5,18.4,,18.25
21,11,2161,5.8,5.75,,,,3.75,7.0,8.75,5.2,,36.25,,,,16.5,16.75
18,25,18111,6.0,7.25,3.25,7.0,6.0,,,,5.2,,34.7,16.25,14.45,19.0,,18.45
24,2,6107,7.4,7.5,,,,6.75,8.5,9.5,9.4,N1,49.05,,,,22.75,24.3
18,49,10660,4.4,4.25,,,,3.75,5.25,8.25,4.6,,30.5,,,,13.25,13.25
21,18,8315,6.4,7.5,,,,5.0,7.0,9.5,6.4,,41.8,,,,19.5,20.3
21,29,1499,8.2,6.25,4.75,8.75,8.75,,,,2.8,,39.5,21.7,15.8,25.7,,17.2
20,58,5911,4.6,6.5,,,,5.75,6.0,,,,,,,,18.25,
23,2,81564,7.0,7.0,,,,8.75,6.0,,,,,,,,21.75,
21,5,4588,4.8,3.25,,,,4.25,6.75,,,,,,,,14.25,
23,25,7344,7.0,8.25,,,,7.75,7.5,9.25,5.2,N1,44.95,,,,23.5,20.45
20,42,2695,7.6,8.25,7.5,7.25,5.75,,,,3.8,N1,40.15,22.35,18.9,20.6,,19.65
22,1,38697,8.0,8.75,,,,8.5,7.75,8.75,7.8,,49.55,,,,25.0,24.55
22,57,231,7.2,6.5,,,,8.0,8.0,8.5,5.0,,43.2,,,,22.5,18.7
20,59,2108,8.2,9.0,7.0,6.75,6.25,,,,5.2,N1,42.4,21.95,20.4,21.2,,22.4
19,60,629,9.4,6.0,8.5,5.75,5.0,,,,8.2,N1,42.85,23.65,26.1,20.15,,23.6
21,56,4813,6.6,6.5,,,,6.5,7.25,9.0,5.4,,41.25,,,,20.25,18.5
24,47,11384,8.2,8.25,,,,8.25,8.25,9.25,4.8,N1,47.0,,,,24.75,21.25
18,26,325,4.6,,5.0,5.0,,,,,,,,14.6,,,,
17,33,4985,6.8,7.5,,,,6.25,7.0,8.75,5.2,,41.5,,,,20.75,19.5
18,43,9840,4.6,6.5,,,,2.75,5.75,8.25,5.0,,32.85,,,,15.0,16.1
23,31,6155,6.0,7.0,,,,7.0,6.25,8.75,3.2,N1,38.2,,,,20.25,16.2
19,3,9358,4.8,6.5,4.0,5.25,3.25,,,,3.8,N1,27.6,14.05,12.6,13.3,,15.1
22,54,14205,6.8,,,7.5,8.25,,,,,,,,,22.55,,
17,30,14786,3.4,3.25,2.75,3.25,3.5,1.75,5.75,8.25,2.6,,25.0,9.4,8.75,10.15,10.75,9.25
17,2,57345,5.2,5.5,4.0,2.75,3.75,,,,4.6,,25.8,11.95,13.8,11.7,,15.3
19,53,10045,3.8,6.5,4.5,5.0,3.25,,,,3.4,N1,26.45,13.3,11.7,12.05,,13.7
20,52,8991,6.6,7.25,,,,3.5,6.5,7.5,3.6,N1,34.95,,,,17.25,17.45
18,25,10799,3.0,2.75,,,,3.25,4.0,,,,,,,,10.0,
17,37,6102,3.6,6.5,2.75,3.0,4.75,2.75,3.75,7.0,4.6,,28.2,9.35,10.95,11.35,13.0,14.7
19,27,6823,4.8,4.75,,,,5.0,7.25,7.5,3.0,N1,32.3,,,,17.0,12.55
23,37,7726,6.6,6.0,,,,8.5,7.25,8.75,5.8,N1,42.9,,,,21.75,18.4
21,10,1404,7.4,8.0,,,,6.75,8.0,7.5,3.6,,41.25,,,,22.75,19.0
24,2,60097,7.2,7.75,,,,8.75,8.75,,,,,,,,25.25,
22,47,7727,8.6,5.5,8.25,8.5,7.25,,,,9.2,,47.3,25.35,26.05,24.35,,23.3
22,3,18728,4.0,7.0,,,,6.75,7.0,9.0,2.2,,35.95,,,,20.75,13.2
23,40,18553,6.0,7.25,6.5,5.0,5.25,,,,6.0,N1,36.0,17.5,18.5,16.25,,19.25
17,1,67269,2.8,4.0,2.75,2.75,3.0,2.75,6.25,,,,15.8,8.3,,8.55,13.0,
19,51,13165,5.0,3.75,,,,5.75,7.5,8.0,3.2,N1,33.2,,,,17.0,11.95
