SBD,Trường,Ngành,Tổ hợp,Năm,Điểm học sinh,Điểm chuẩn trung bình,Điểm chuẩn dự kiến,Chỉ tiêu,q0,Market trend,Xu hướng điểm chuẩn,Xác suất trúng tuyển
55123,NTT,ngôn ngữ trung quốc,D01,2025,14.9,15.0,14.75,202.5,126.53,0.71,-0.0,0.5374
5913,HIU,ngôn ngữ trung quốc,C00,2025,19.75,15.0,15.25,126.53,126.53,0.5,-0.0,0.989
8557,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,15.0,15.0,15.25,129.42,129.42,0.5,0.0,0.4378
1807,IUH,luật kinh tế,A00,2025,26.5,23.5,23.75,141.53,141.53,0.5,-0.0,0.9399
6517,VLU,công nghệ thông tin,A00,2025,16.35,15.0,15.25,132.31,132.31,0.5,-0.0,0.7503
12478,NLS,nông nghiệp,A00,2025,14.65,15.0,15.76,90.0,154.67,0.68,0.0,0.2479
13256,MBS,xã hội học,C00,2025,20.25,18.0,18.25,132.95,132.95,0.5,-0.0,0.8808
3371,SPS,tâm lý học,C00,2025,27.75,26.45,26.38,151.5,133.53,0.68,-0.39,0.7974
551,HSU,thiết kế nội thất,D01,2025,18.2,15.0,15.29,137.5,130.95,0.68,-0.0,0.9483
5171,LPS,luật kinh tế,C00,2025,23.0,21.0,21.25,141.53,141.53,0.5,0.0,0.852
32958,LPS,luật kinh tế,C00,2025,23.5,21.0,21.25,141.53,141.53,0.5,0.0,0.9047
16889,DCQ,luật kinh tế,C00,2025,8.25,16.0,16.25,141.53,141.53,0.5,0.0,0.0003
4382,SPK,công nghệ vật liệu,A00,2025,22.05,15.4,15.93,96.5,118.52,0.68,0.0,0.9978
11864,NTT,ngôn ngữ trung quốc,C00,2025,17.0,15.0,14.75,202.5,126.53,0.71,-0.0,0.9047
12049,QSB,kỹ thuật môi trường,B00,2025,23.95,22.1,22.35,145.4,145.4,0.5,0.0,0.832
4664,HIU,ngôn ngữ trung quốc,C00,2025,17.25,15.0,15.25,126.53,126.53,0.5,-0.0,0.8808
4237,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,16.5,15.0,15.25,129.42,129.42,0.5,0.0,0.7773
13511,NLS,quản lý tài nguyên và môi trường,C00,2025,17.75,15.0,15.25,141.5,129.8,0.68,0.0,0.9241
11595,VLU,quan hệ công chúng,C00,2025,22.5,19.0,19.57,110.5,136.37,0.77,0.0,0.9493
9117,QST,quản lý tài nguyên và môi trường,A01,2025,24.4,21.5,22.07,100.0,129.8,0.68,0.0,0.9113
12504,MBS,xã hội học,C00,2025,21.0,18.0,18.25,132.95,132.95,0.5,-0.0,0.9399
1694,DCQ,luật kinh tế,C00,2025,17.0,16.0,16.25,141.53,141.53,0.5,0.0,0.6792
2375,GTS,luật,D01,2025,24.1,21.0,21.25,137.77,137.77,0.5,-0.0,0.9453
6625,HSU,nghệ thuật,D01,2025,14.55,15.0,15.16,161.5,137.08,0.68,0.0,0.3521
60782,QSX,quản lý giáo dục,C00,2025,19.75,26.9,27.15,153.02,153.02,0.5,-0.0,0.0006
10195,VLU,tâm lý học,C00,2025,19.5,16.0,16.56,103.5,133.53,0.68,0.0,0.9498
3497,IUH,công nghệ kỹ thuật ô tô,A00,2025,14.05,15.0,15.37,137.5,141.77,0.68,0.0,0.2108
3515,SGD,trí tuệ nhân tạo,A00,2025,22.4,22.27,22.52,169.88,169.88,0.5,-0.0,0.47
13995,KSA,logistics và quản lý chuỗi cung ứng,C00,2025,22.25,19.0,19.25,119.38,119.38,0.5,0.0,0.9526
9293,KTA,kiến trúc,A01,2025,18.3,21.0,21.25,134.55,134.55,0.5,0.0,0.0497
19734,NTT,ngôn ngữ trung quốc,C00,2025,15.0,15.0,14.75,202.5,126.53,0.71,-0.0,0.5622
2968,QSC,trí tuệ nhân tạo,A01,2025,22.8,26.53,26.19,180.0,169.88,0.92,-1.06,0.0326
6056,HIU,ngôn ngữ trung quốc,C00,2025,16.25,15.0,15.25,126.53,126.53,0.5,-0.0,0.7311
1312,SPK,công nghệ sinh học,D01,2025,18.4,15.0,15.75,100.0,155.72,0.79,0.0,0.934
4456,UFM,tài chính - ngân hàng,D01,2025,25.1,22.5,22.69,163.5,135.02,0.8,0.0,0.9176
12996,GTS,kỹ thuật xây dựng,D01,2025,18.8,18.0,17.83,130.67,130.67,0.5,-0.6,0.7251
4590,DCQ,luật kinh tế,C00,2025,19.25,16.0,16.25,141.53,141.53,0.5,0.0,0.9526
6275,HVU,thú y,A00,2025,16.9,18.0,18.32,155.5,152.43,0.68,0.0,0.1947
6571,NLS,quản lý tài nguyên và môi trường,C00,2025,16.25,15.0,15.25,141.5,129.8,0.68,0.0,0.7311
3254,QSX,quản lý giáo dục,C00,2025,10.75,26.9,27.15,153.02,153.02,0.5,-0.0,0.0
7008,YDS,điều dưỡng,A00,2025,23.15,23.02,23.4,92.5,153.48,0.82,-0.61,0.4378
26474,TYS,điều dưỡng,B00,2025,18.3,23.57,23.82,153.48,153.48,0.5,0.0,0.004
6218,QSB,trí tuệ nhân tạo,A00,2025,20.1,17.2,17.45,169.88,169.88,0.5,0.0,0.934
1166,NTT,ngôn ngữ trung quốc,C00,2025,13.0,15.0,14.75,202.5,126.53,0.71,-0.0,0.148
1362,LPS,luật kinh tế,C00,2025,22.75,21.0,21.25,141.53,141.53,0.5,0.0,0.8176
3242,HSU,nghệ thuật,D01,2025,16.75,15.0,15.16,161.5,137.08,0.68,0.0,0.8306
2942,MBS,xã hội học,C00,2025,17.25,18.0,18.25,132.95,132.95,0.5,-0.0,0.2689
8821,HIU,ngôn ngữ trung quốc,C00,2025,13.5,15.0,15.25,126.53,126.53,0.5,-0.0,0.148
352,HVU,thú y,A00,2025,19.05,18.0,18.32,155.5,152.43,0.68,0.0,0.6748
3755,SPS,ngôn ngữ anh,D01,2025,20.7,22.41,21.36,152.5,145.54,0.89,-2.07,0.3407
16143,IUH,luật kinh tế,C00,2025,23.5,23.5,23.75,141.53,141.53,0.5,-0.0,0.4378
2483,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,14.5,15.0,15.25,129.42,129.42,0.5,0.0,0.3208
38042,UFM,tài chính - ngân hàng,D01,2025,21.0,22.5,22.69,163.5,135.02,0.8,0.0,0.1558
8255,SGD,sư phạm ngữ văn,C00,2025,17.75,28.11,28.36,139.2,139.2,0.5,0.0,0.0
21517,VLU,quản trị dịch vụ du lịch và lữ hành,C00,2025,18.75,15.33,15.91,116.5,129.42,0.68,0.2,0.9448
5601,DCQ,luật kinh tế,C00,2025,18.5,16.0,16.25,141.53,141.53,0.5,0.0,0.9047
4357,SPK,công nghệ sinh học,D01,2025,18.2,15.0,15.75,100.0,155.72,0.79,0.0,0.9206
11965,NTT,ngôn ngữ trung quốc,C00,2025,12.0,15.0,14.75,202.5,126.53,0.71,-0.0,0.0601
1791,HSU,nghệ thuật,D01,2025,12.55,15.0,15.16,161.5,137.08,0.68,0.0,0.0685
11680,QSC,an toàn thông tin,D01,2025,22.6,24.28,23.78,130.5,145.58,0.87,-1.49,0.2351
53363,QST,quản lý tài nguyên và môi trường,A00,2025,21.15,21.5,22.07,100.0,129.8,0.68,0.0,0.285
532,YDS,điều dưỡng,A00,2025,25.8,23.02,23.4,92.5,153.48,0.82,-0.61,0.9168
36529,GTS,kỹ thuật xây dựng,A00,2025,20.75,18.0,17.83,130.67,130.67,0.5,-0.6,0.9488
6725,MBS,xã hội học,C00,2025,19.0,18.0,18.25,132.95,132.95,0.5,-0.0,0.6792
8183,KTA,công nghệ thông tin,A00,2025,22.5,23.8,24.05,132.31,132.31,0.5,-0.0,0.1751
4929,SPS,hóa học,A01,2025,24.3,21.6,21.81,130.0,115.33,0.68,0.0,0.9234
2224,QSX,quản lý giáo dục,D01,2025,10.95,24.4,24.65,153.02,153.02,0.5,-0.0,0.0
21400,NLS,quản lý tài nguyên và môi trường,C00,2025,16.25,15.0,15.25,141.5,129.8,0.68,0.0,0.7311
7293,HIU,ngôn ngữ trung quốc,C00,2025,17.25,15.0,15.25,126.53,126.53,0.5,-0.0,0.8808
6262,LPS,luật kinh tế,C00,2025,21.75,21.0,21.25,141.53,141.53,0.5,0.0,0.6225
18198,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,15.0,15.0,15.25,129.42,129.42,0.5,0.0,0.4378
44402,QSB,khoa học máy tính,D01,2025,23.1,21.0,21.25,122.69,122.69,0.5,0.0,0.8641
35854,UFM,tài chính - ngân hàng,D01,2025,22.45,22.5,22.69,163.5,135.02,0.8,0.0,0.4403
6288,TYS,điều dưỡng,B00,2025,23.5,23.57,23.82,153.48,153.48,0.5,0.0,0.4207
1737,HVU,thú y,B00,2025,19.45,18.0,18.32,155.5,152.43,0.68,0.0,0.7558
42359,SGD,sư phạm ngữ văn,C00,2025,13.0,28.11,28.36,139.2,139.2,0.5,0.0,0.0
91,DCQ,luật kinh tế,C00,2025,19.0,16.0,16.25,141.53,141.53,0.5,0.0,0.9399
60975,QSC,an toàn thông tin,D01,2025,25.95,24.28,23.78,130.5,145.58,0.87,-1.49,0.8975
13719,IUH,luật kinh tế,C00,2025,23.5,23.5,23.75,141.53,141.53,0.5,-0.0,0.4378
2241,SPK,công nghệ sinh học,D01,2025,18.25,15.0,15.75,100.0,155.72,0.79,0.0,0.9241
27307,QST,quản lý tài nguyên và môi trường,A00,2025,26.55,21.5,22.07,100.0,129.8,0.68,0.0,0.9888
4204,VLU,quan hệ công chúng,C00,2025,21.5,19.0,19.57,110.5,136.37,0.77,0.0,0.8732
3077,QSB,trí tuệ nhân tạo,A00,2025,25.8,17.2,17.45,169.88,169.88,0.5,0.0,0.9998
5335,GTS,kỹ thuật xây dựng,D01,2025,22.5,18.0,17.83,130.67,130.67,0.5,-0.6,0.9907
16268,NLS,quản lý tài nguyên và môi trường,C00,2025,16.25,15.0,15.25,141.5,129.8,0.68,0.0,0.7311
9471,KTA,công nghệ thông tin,A01,2025,25.65,23.8,24.05,132.31,132.31,0.5,-0.0,0.832
57377,SPS,ngôn ngữ anh,D01,2025,19.7,22.41,21.36,152.5,145.54,0.89,-2.07,0.1598
30551,HSU,nghệ thuật,D01,2025,17.65,15.0,15.16,161.5,137.08,0.68,0.0,0.9234
4214,MBS,xã hội học,C00,2025,15.25,18.0,18.25,132.95,132.95,0.5,-0.0,0.0474
9314,YDS,điều dưỡng,B00,2025,21.55,23.02,23.4,92.5,153.48,0.82,-0.61,0.1359
17343,QSC,khoa học dữ liệu và trí tuệ nhân tạo,D01,2025,25.55,28.3,28.66,176.5,160.12,0.92,0.0,0.0427
6508,HVU,thú y,A00,2025,16.4,18.0,18.32,155.5,152.43,0.68,0.0,0.1279
6313,NTT,ngôn ngữ trung quốc,C00,2025,15.5,15.0,14.75,202.5,126.53,0.71,-0.0,0.6792
36775,SGD,trí tuệ nhân tạo,A00,2025,25.25,22.27,22.52,169.88,169.88,0.5,-0.0,0.9388
22707,SPK,công nghệ sinh học,D01,2025,18.6,15.0,15.75,100.0,155.72,0.79,0.0,0.9453
4058,IUH,công nghệ thực phẩm,B00,2025,19.9,18.0,18.25,154.2,154.2,0.5,-0.0,0.8389
16198,HIU,ngôn ngữ trung quốc,C00,2025,16.25,15.0,15.25,126.53,126.53,0.5,-0.0,0.7311
11604,TYS,điều dưỡng,B00,2025,24.75,23.57,23.82,153.48,153.48,0.5,0.0,0.7171
5594,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,13.75,15.0,15.25,129.42,129.42,0.5,0.0,0.1824
14982,GTS,kỹ thuật xây dựng,D01,2025,15.6,18.0,17.83,130.67,130.67,0.5,-0.6,0.0971
5945,VLU,thú y,D01,2025,17.85,15.0,15.04,198.5,152.43,0.68,-0.0,0.9432
11575,LPS,luật kinh tế,C00,2025,19.25,21.0,21.25,141.53,141.53,0.5,0.0,0.1192
1371,NLS,quản lý tài nguyên và môi trường,C00,2025,13.5,15.0,15.25,141.5,129.8,0.68,0.0,0.148
39766,MBS,xã hội học,C00,2025,20.5,18.0,18.25,132.95,132.95,0.5,-0.0,0.9047
41489,UFM,tài chính - ngân hàng,D01,2025,22.2,22.5,22.69,163.5,135.02,0.8,0.0,0.3799
9560,KTA,công nghệ thông tin,D01,2025,18.7,23.8,24.05,132.31,132.31,0.5,-0.0,0.0047
3921,QSB,trí tuệ nhân tạo,A00,2025,18.7,17.2,17.45,169.88,169.88,0.5,0.0,0.7773
20556,QSX,ngôn ngữ anh,D01,2025,22.1,24.51,24.45,112.5,145.54,0.89,-1.05,0.0871
2711,HVU,thú y,A00,2025,17.1,18.0,18.32,155.5,152.43,0.68,0.0,0.2279
11253,LPS,luật kinh tế,C00,2025,22.0,21.0,21.25,141.53,141.53,0.5,0.0,0.6792
4715,QST,quản lý tài nguyên và môi trường,A00,2025,24.65,21.5,22.07,100.0,129.8,0.68,0.0,0.9296
53250,SPS,ngôn ngữ anh,D01,2025,21.55,22.41,21.36,152.5,145.54,0.89,-2.07,0.5474
18,DCQ,luật kinh tế,C00,2025,17.75,16.0,16.25,141.53,141.53,0.5,0.0,0.8176
4560,VLU,tâm lý học,C00,2025,19.5,16.0,16.56,103.5,133.53,0.68,0.0,0.9498
2275,QSX,quản lý giáo dục,C00,2025,18.0,26.9,27.15,153.02,153.02,0.5,-0.0,0.0001
11832,NTT,ngôn ngữ trung quốc,C00,2025,17.25,15.0,14.75,202.5,126.53,0.71,-0.0,0.9241
9385,HIU,ngôn ngữ trung quốc,C00,2025,18.25,15.0,15.25,126.53,126.53,0.5,-0.0,0.9526
206,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,16.0,15.0,15.25,129.42,129.42,0.5,0.0,0.6792
8540,YDS,điều dưỡng,B00,2025,22.45,23.02,23.4,92.5,153.48,0.82,-0.61,0.2789
13355,DCQ,luật kinh tế,C00,2025,19.25,16.0,16.25,141.53,141.53,0.5,0.0,0.9526
2687,UFM,tài chính - ngân hàng,D01,2025,22.3,22.5,22.69,163.5,135.02,0.8,0.0,0.4037
5860,IUH,công nghệ kỹ thuật ô tô,A00,2025,17.8,15.0,15.37,137.5,141.77,0.68,0.0,0.9191
900,SPS,tâm lý học,C00,2025,24.25,26.45,26.38,151.5,133.53,0.68,-0.39,0.1062
23119,TYS,y khoa,B00,2025,9.8,26.57,26.82,147.72,147.72,0.5,-0.0,0.0
11007,NLS,quản lý tài nguyên và môi trường,C00,2025,17.25,15.0,15.25,141.5,129.8,0.68,0.0,0.8808
789,QSX,quản lý giáo dục,C00,2025,25.25,26.9,27.15,153.02,153.02,0.5,-0.0,0.1301
6170,SGD,quản trị kinh doanh,D01,2025,17.15,22.97,23.22,111.56,111.56,0.5,-0.0,0.0023
65596,MBS,xã hội học,C00,2025,16.0,18.0,18.25,132.95,132.95,0.5,-0.0,0.0953
6031,NTT,ngôn ngữ trung quốc,C00,2025,13.75,15.0,14.75,202.5,126.53,0.71,-0.0,0.2689
10197,SPK,công nghệ sinh học,B00,2025,18.4,15.0,15.75,100.0,155.72,0.79,0.0,0.934
1494,HSU,nghệ thuật,D01,2025,13.8,15.0,15.16,161.5,137.08,0.68,0.0,0.2042
35129,SGD,sư phạm ngữ văn,C00,2025,22.25,28.11,28.36,139.2,139.2,0.5,0.0,0.0022
53231,LPS,luật kinh tế,C00,2025,21.0,21.0,21.25,141.53,141.53,0.5,0.0,0.4378
7637,HIU,ngôn ngữ trung quốc,C00,2025,17.75,15.0,15.25,126.53,126.53,0.5,-0.0,0.9241
29626,IUH,luật kinh tế,C00,2025,18.5,23.5,23.75,141.53,141.53,0.5,-0.0,0.0052
14538,QST,quản lý tài nguyên và môi trường,A00,2025,19.6,21.5,22.07,100.0,129.8,0.68,0.0,0.078
4186,QSB,trí tuệ nhân tạo,A00,2025,19.9,17.2,17.45,169.88,169.88,0.5,0.0,0.9206
851,YDS,điều dưỡng,B00,2025,21.1,23.02,23.4,92.5,153.48,0.82,-0.61,0.0911
4780,SPS,tâm lý học,C00,2025,22.25,26.45,26.38,151.5,133.53,0.68,-0.39,0.0158
18144,KTA,kiến trúc,A01,2025,18.2,21.0,21.25,134.55,134.55,0.5,0.0,0.0452
16761,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,16.25,15.0,15.25,129.42,129.42,0.5,0.0,0.7311
2601,QSC,an toàn thông tin,D01,2025,23.9,24.28,23.78,130.5,145.58,0.87,-1.49,0.53
11630,QSX,quản lý giáo dục,C00,2025,15.5,26.9,27.15,153.02,153.02,0.5,-0.0,0.0
1162,QST,quản lý tài nguyên và môi trường,A01,2025,24.8,21.5,22.07,100.0,129.8,0.68,0.0,0.9388
88429,SGD,sư phạm ngữ văn,C00,2025,26.5,28.11,28.36,139.2,139.2,0.5,0.0,0.1347
8585,NLS,quản lý tài nguyên và môi trường,C00,2025,20.5,15.0,15.25,141.5,129.8,0.68,0.0,0.9948
26647,UFM,tài chính - ngân hàng,A01,2025,24.6,22.5,22.69,163.5,135.02,0.8,0.0,0.871
6286,VLU,luật,C00,2025,13.75,15.0,15.38,135.5,137.77,0.73,-0.0,0.1638
67269,NTT,ngôn ngữ trung quốc,C00,2025,13.0,15.0,14.75,202.5,126.53,0.71,-0.0,0.148
1301,DCQ,luật kinh tế,C00,2025,14.0,16.0,16.25,141.53,141.53,0.5,0.0,0.0953
4584,MBS,xã hội học,C00,2025,17.5,18.0,18.25,132.95,132.95,0.5,-0.0,0.3208
5429,LPS,luật kinh tế,C00,2025,18.25,21.0,21.25,141.53,141.53,0.5,0.0,0.0474
3161,GTS,kỹ thuật xây dựng,A00,2025,20.75,18.0,17.83,130.67,130.67,0.5,-0.6,0.9488
30620,TYS,điều dưỡng,B00,2025,23.15,23.57,23.82,153.48,153.48,0.5,0.0,0.3385
63522,QSX,quản lý giáo dục,C00,2025,11.5,26.9,27.15,153.02,153.02,0.5,-0.0,0.0
31880,HIU,ngôn ngữ trung quốc,C00,2025,17.0,15.0,15.25,126.53,126.53,0.5,-0.0,0.852
2654,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,17.25,15.0,15.25,129.42,129.42,0.5,0.0,0.8808
5611,NTT,ngôn ngữ trung quốc,C00,2025,11.75,15.0,14.75,202.5,126.53,0.71,-0.0,0.0474
13404,HSU,nghệ thuật,D01,2025,17.2,15.0,15.16,161.5,137.08,0.68,0.0,0.8849
13250,VLU,tâm lý học,C00,2025,19.5,16.0,16.56,103.5,133.53,0.68,0.0,0.9498
12329,IUH,luật kinh tế,C00,2025,23.5,23.5,23.75,141.53,141.53,0.5,-0.0,0.4378
73885,KTA,kiến trúc,A01,2025,23.5,21.0,21.25,134.55,134.55,0.5,0.0,0.9047
16868,NLS,quản lý tài nguyên và môi trường,C00,2025,17.25,15.0,15.25,141.5,129.8,0.68,0.0,0.8808
41534,QSC,an toàn thông tin,D01,2025,20.8,24.28,23.78,130.5,145.58,0.87,-1.49,0.0483
9291,SPS,tâm lý học,C00,2025,18.0,26.45,26.38,151.5,133.53,0.68,-0.39,0.0002
1618,UFM,tài chính - ngân hàng,D01,2025,25.55,22.5,22.69,163.5,135.02,0.8,0.0,0.9458
10066,GTS,kỹ thuật xây dựng,D01,2025,13.35,18.0,17.83,130.67,130.67,0.5,-0.6,0.0112
8483,IUH,luật kinh tế,C00,2025,24.5,23.5,23.75,141.53,141.53,0.5,-0.0,0.6792
1423,DCQ,luật kinh tế,C00,2025,16.0,16.0,16.25,141.53,141.53,0.5,0.0,0.4378
43127,QSB,khoa học máy tính,D01,2025,21.3,21.0,21.25,122.69,122.69,0.5,0.0,0.5125
1757,MBS,xã hội học,C00,2025,20.5,18.0,18.25,132.95,132.95,0.5,-0.0,0.9047
11426,HIU,ngôn ngữ trung quốc,C00,2025,12.25,15.0,15.25,126.53,126.53,0.5,-0.0,0.0474
12608,HVU,thú y,B00,2025,15.8,18.0,18.32,155.5,152.43,0.68,0.0,0.0745
