Ngành,Mức điểm đầu vào,Trường đại học,Điểm chuẩn,Tổ hợp,Năm,Ghi chú,Môn nhân hệ số 2
công nghệ kỹ thuật ô tô,Cao,Đại học Bách Khoa TP.HCM,26.99,A00,2024,,
công nghệ kỹ thuật ô tô,Cao,Đại học Bách Khoa TP.HCM,26.99,A01,2024,,
công nghệ kỹ thuật ô tô,Cao,Đại học Bách Khoa TP.HCM,25.36,A00,2024,,
công nghệ kỹ thuật ô tô,Cao,Đại học Bách Khoa TP.HCM,25.36,A01,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,27.35,A00,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,27.35,A01,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,27.35,D28,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,28.01,A00,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,28.01,A01,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,27.35,A00,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,27.35,A01,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,27.35,D29,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,26.1,A00,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,26.1,A01,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,25.55,A00,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,25.55,A01,2024,,
công nghệ thông tin,Cao,Đại học Bách Khoa TP.HCM,25.55,D28,2024,,
công nghệ thực phẩm,Cao,Đại học Bách Khoa TP.HCM,22.4,A00,2024,,
công nghệ thực phẩm,Cao,Đại học Bách Khoa TP.HCM,22.4,D07,2024,,
công nghệ thực phẩm,Cao,Đại học Bách Khoa TP.HCM,22.4,B00,2024,,
công nghệ vật liệu,Cao,Đại học Bách Khoa TP.HCM,25.0,A00,2024,,
công nghệ vật liệu,Cao,Đại học Bách Khoa TP.HCM,25.0,A01,2024,,
công nghệ vật liệu,Cao,Đại học Bách Khoa TP.HCM,25.0,D07,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Cao,Đại học Bách Khoa TP.HCM,28.22,A00,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Cao,Đại học Bách Khoa TP.HCM,28.22,A01,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Cao,Đại học Bách Khoa TP.HCM,27.11,A00,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Cao,Đại học Bách Khoa TP.HCM,27.11,A01,2024,,
khoa học máy tính,Cao,Đại học Bách Khoa TP.HCM,28.53,A00,2024,,
khoa học máy tính,Cao,Đại học Bách Khoa TP.HCM,28.53,A01,2024,,
khoa học máy tính,Cao,Đại học Bách Khoa TP.HCM,21.0,A00,2024,,
khoa học máy tính,Cao,Đại học Bách Khoa TP.HCM,21.0,A01,2024,,
khoa học máy tính,Cao,Đại học Bách Khoa TP.HCM,21.0,D01,2024,,
kỹ thuật môi trường,Cao,Đại học Bách Khoa TP.HCM,22.1,A00,2024,,
kỹ thuật môi trường,Cao,Đại học Bách Khoa TP.HCM,22.1,B00,2024,,
kỹ thuật môi trường,Cao,Đại học Bách Khoa TP.HCM,22.1,D07,2024,,
kỹ thuật xây dựng,Cao,Đại học Bách Khoa TP.HCM,18.5,A00,2024,,
kỹ thuật xây dựng,Cao,Đại học Bách Khoa TP.HCM,18.5,A01,2024,,
kỹ thuật xây dựng,Cao,Đại học Bách Khoa TP.HCM,17.65,A00,2024,,
kỹ thuật xây dựng,Cao,Đại học Bách Khoa TP.HCM,17.65,A01,2024,,
kỹ thuật điện - điện tử,Cao,Đại học Bách Khoa TP.HCM,26.81,A00,2024,,
kỹ thuật điện - điện tử,Cao,Đại học Bách Khoa TP.HCM,26.81,A01,2024,,
trí tuệ nhân tạo,Cao,Đại học Bách Khoa TP.HCM,17.2,A00,2024,,
trí tuệ nhân tạo,Cao,Đại học Bách Khoa TP.HCM,17.2,A01,2024,,
tự động hóa,Cao,Đại học Bách Khoa TP.HCM,26.22,A00,2024,,
tự động hóa,Cao,Đại học Bách Khoa TP.HCM,26.22,A01,2024,,
tự động hóa,Cao,Đại học Bách Khoa TP.HCM,26.22,D29,2024,,
tự động hóa,Cao,Đại học Bách Khoa TP.HCM,28.16,A00,2024,,
tự động hóa,Cao,Đại học Bách Khoa TP.HCM,28.16,A01,2024,,
tự động hóa,Cao,Đại học Bách Khoa TP.HCM,26.0,A00,2024,,
tự động hóa,Cao,Đại học Bách Khoa TP.HCM,26.0,A01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,24.82,A00,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,24.82,A01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,24.0,A00,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,24.0,A01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,24.0,C01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,24.0,D90,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,18.5,A00,2024,Cơ sở Nam Định,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,18.5,A01,2024,Cơ sở Nam Định,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,18.5,C01,2024,Cơ sở Nam Định,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,18.5,D01,2024,Cơ sở Nam Định,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,23.8,A00,2024,Cơ sở Hà Nội,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,23.8,A01,2024,Cơ sở Hà Nội,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,23.8,C01,2024,Cơ sở Hà Nội,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,23.8,D01,2024,Cơ sở Hà Nội,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A00,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D07,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,18.0,A00,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,18.0,A01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,18.0,D01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,18.0,A21,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,15.0,A00,2024,,
