Ngành,market_trend,interests
thú y,20,"Động vật,Y học,Chăm sóc sức khỏe,Khoa học,Nghiên cứu"
báo chí,5,"Truyền thông,Giao tiếp,Văn học,Đọc sách,Sáng tạo"
quan hệ công chúng,15,"Truyền thông,Giao tiếp,Quảng cáo,Sáng tạo,Kinh doanh"
digital marketing,25,"Truyền thông,Quảng cáo,Công nghệ,Sáng tạo,Phân tích dữ liệu"
marketing,20,"Sáng tạo,Truyền thông,Kinh doanh,Quảng cáo,Giao tiếp"
công nghệ vật liệu,15,"Nghiên cứu,Kỹ thuật,Khoa học,Công nghệ,Thiết kế"
công nghệ thực phẩm,20,"Ẩm thực,Hóa học,Nghiên cứu,Khoa học,Sáng tạo"
công nghệ sinh học,20,"Sinh học,Nghiên cứu,Khoa học,Môi trường,Hóa học"
hóa học,10,"Hóa học,Khoa học,Nghiên cứu,Phân tích dữ liệu,Môi trường"
khoa học máy tính,25,"Toán học,Lập trình,Máy tính,Công nghệ,Nghiên cứu"
khoa học dữ liệu và trí tuệ nhân tạo,30,"Phân tích dữ liệu,Toán học,Thống kê,Công nghệ,Nghiên cứu"
khoa học dữ liệu,25,"Phân tích dữ liệu,Thống kê,Máy học,Nghiên cứu,Toán học"
an toàn thông tin,25,"Bảo mật thông tin,Máy tính,Công nghệ,Phân tích dữ liệu,Nghiên cứu"
công nghệ thông tin,25,"Lập trình,Máy tính,Công nghệ,Trò chơi điện tử,Phân tích dữ liệu"
trí tuệ nhân tạo,25,"Lập trình,Phân tích dữ liệu,Công nghệ,Toán học,Tự động hóa"
mạng máy tính & truyền thông dữ liệu,25,"Máy tính,Công nghệ,Bảo mật thông tin,Phân tích dữ liệu,Kỹ thuật"
robot và trí tuệ nhân tạo,25,"Công nghệ,Tự động hóa,Lập trình,Kỹ thuật,Phân tích dữ liệu"
kỹ thuật phần mềm,25,"Lập trình,Máy tính,Công nghệ,Phân tích dữ liệu,Sáng tạo"
quản trị khách sạn,20,"Du lịch,Dịch vụ khách hàng,Quản lý,Giao tiếp,Ngoại ngữ"
quản trị dịch vụ du lịch và lữ hành,20,"Du lịch,Quản lý,Văn hóa,Dịch vụ khách hàng,Ngoại ngữ"
vật lý học,5,"Vật lý,Nghiên cứu,Khoa học,Toán học,Phân tích dữ liệu"
kinh tế học,15,"Kinh tế,Phân tích dữ liệu,Thống kê,Nghiên cứu,Chính trị"
quản trị kinh doanh,15,"Kinh doanh,Lãnh đạo,Quản lý,Giao tiếp,Phân tích dữ liệu"
kiểm toán,10,"Phân tích dữ liệu,Tài chính,Kinh tế,Thống kê,Nghiên cứu"
kế toán,10,"Tài chính,Thống kê,Quản lý,Kinh tế,Phân tích dữ liệu"
luật,10,"Luật pháp,Chính trị,Giao tiếp,Nghiên cứu,Phân tích dữ liệu"
