StudentID,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,Interests,Tohopthi,Major_1,Score_1,Subject_Group_1,Major_2,Score_2,Subject_Group_2,Major_3,Score_3,Subject_Group_3
S00001,5.6,8.0,,,,4.75,7.75,6.5,3.0,"Luật pháp,Chính trị,Truyền thông",XH,digital marketing,0.535,C04,marketing,0.525,C04,luật kinh tế,0.517,C20
S00002,7.4,9.0,,,,7.5,7.75,9.25,8.8,"Thiết kế,Truyền thông,Ẩm thực",XH,nghệ thuật,0.647,D14,digital marketing,0.586,D01,kỹ thuật xây dựng,0.579,D84
S00003,7.0,5.5,6.75,7.75,5.5,,,,4.6,"Nông nghiệp,Chăm sóc sức khỏe,Thể thao",TN,thú y,0.527,A00,điều dưỡng,0.527,A00,y khoa,0.527,A00
S00004,5.6,5.25,,,,6.5,6.0,6.75,4.0,"Chính trị,Đọc sách,Cơ khí",XH,công nghệ kỹ thuật ô tô,0.455,C04,ngôn ngữ anh,0.435,D09,quan hệ quốc tế,0.43,D14
S00005,7.0,7.75,,,,7.5,6.25,7.5,6.8,"Giúp đỡ người khác,Trò chơi điện tử,Văn học",XH,công nghệ thông tin,0.547,C14,tâm lý học,0.534,D14,quản trị nhân lực,0.524,D14
S00006,4.4,6.0,,,,5.0,6.0,6.5,5.2,"Nghệ thuật,Đọc sách,Khoa học",XH,quản lý tài nguyên và môi trường,0.487,C20,công nghệ sinh học,0.459,C04,tâm lý học,0.456,D14
S00007,7.8,8.25,,,,9.0,9.0,8.5,4.4,"Lãnh đạo,Sáng tạo,Hóa học",XH,công nghệ thực phẩm,0.613,D01,digital marketing,0.584,C04,kỹ thuật phần mềm,0.577,C14
S00008,8.2,8.0,8.25,8.75,7.25,,,,6.0,"Y học,Văn học,Thống kê",TN,khoa học dữ liệu và trí tuệ nhân tạo,0.596,A00,khoa học dữ liệu,0.586,A00,răng - hàm - mặt,0.576,A00
S00009,7.2,7.5,6.0,2.5,5.75,,,,6.8,"Lập trình,Điện tử,Giúp đỡ người khác",TN,tự động hóa,0.637,D01,kỹ thuật phần mềm,0.537,D01,công nghệ thông tin,0.537,D01
S00010,6.8,8.0,,,,7.75,6.0,8.75,7.8,"Giáo dục,Truyền thông,Luật pháp",XH,digital marketing,0.551,D01,luật kinh tế,0.547,D66,quan hệ công chúng,0.544,D14
S00011,8.6,7.25,8.5,5.5,7.5,,,,8.2,"Lập trình,Môi trường,Du lịch",TN,tự động hóa,0.587,A01,kỹ thuật phần mềm,0.587,A01,trí tuệ nhân tạo,0.587,A01
S00012,2.8,4.75,,,,5.25,6.5,7.0,4.6,"Dạy học,Trò chơi điện tử,Y học",XH,quản lý tài nguyên và môi trường,0.283,C20,quản trị kinh doanh quốc tế,0.273,C20,quản trị khách sạn,0.251,D15
S00013,6.4,9.0,4.25,4.25,5.25,,,,5.0,"Bảo mật thông tin,Truyền thông,Cơ khí",TN,an toàn thông tin,0.522,D01,tự động hóa,0.522,D01,digital marketing,0.522,D01
S00014,6.2,9.0,,,,6.75,7.0,8.75,7.6,"Dạy học,Truyền thông,Dịch vụ khách hàng",XH,quản trị dịch vụ du lịch và lữ hành,0.578,D66,quản trị khách sạn,0.555,D15,digital marketing,0.554,D01
S00015,7.4,6.25,6.0,6.75,6.0,,,,8.6,"Ngoại ngữ,Xây dựng,Nghiên cứu",TN,quan hệ quốc tế,0.617,D01,quản lý đất đai,0.617,D01,ngôn ngữ trung quốc,0.607,D01
S00016,6.2,8.5,,,,6.25,7.75,8.5,4.8,"Nghệ thuật,Sáng tạo,Giáo dục",XH,kiến trúc,0.59,D01,thiết kế đồ họa,0.581,D14,thiết kế nội thất,0.581,D14
S00017,3.4,4.5,,,,3.25,3.0,6.25,4.2,"Thể thao,Lãnh đạo,Đọc sách",XH,,0.0,,,0.0,,,0.0,
S00018,5.6,8.0,,,,6.75,7.5,8.75,4.2,"Đọc sách,Ẩm thực,Sáng tạo",XH,công nghệ thực phẩm,0.577,D01,kỹ thuật phần mềm,0.548,C14,digital marketing,0.531,C04
S00019,6.8,7.5,,,,7.25,9.25,10.0,4.8,"Trò chơi điện tử,Nghệ thuật,Thể thao",XH,công nghệ thông tin,0.574,C14,thiết kế thời trang,0.571,D14,kiến trúc,0.485,D01
S00020,7.4,6.25,8.25,6.75,5.5,,,,2.6,"Y học,Thống kê,Động vật",TN,thú y,0.639,A00,khoa học dữ liệu và trí tuệ nhân tạo,0.559,A00,khoa học dữ liệu,0.549,A00
